Date,Close,Open,High,Low,Change %
2016-05-18,13389.0,13315.0,13389.0,13310.0,0.68
2016-05-19,13555.0,13445.0,13560.0,13430.0,1.24
2016-05-20,13607.5,13542.5,13652.5,13532.5,0.39
2016-05-23,13582.5,13587.5,13617.5,13557.5,-0.18
2016-05-24,13690.0,13565.0,13695.0,13565.0,0.79
2016-05-25,13655.0,13655.0,13685.0,13615.0,-0.26
2016-05-26,13603.5,13616.5,13636.5,13591.5,-0.38
2016-05-27,13583.0,13557.0,13587.0,13557.0,-0.15
2016-05-30,13645.0,13610.0,13655.0,13610.0,0.46
2016-05-31,13660.0,13625.0,13660.0,13595.0,0.11
2016-06-01,13660.0,13655.0,13695.0,13645.0,0.0
2016-06-02,13647.5,13671.5,13700.5,13642.5,-0.09
2016-06-03,13591.5,13621.5,13641.5,13586.5,-0.41
2016-06-06,13377.5,13502.5,13502.5,13367.5,-1.57
2016-06-07,13270.0,13375.0,13385.0,13260.0,-0.8
2016-06-08,13265.0,13245.0,13275.0,13205.0,-0.04
2016-06-09,13265.0,13215.0,13270.0,13205.0,0.0
2016-06-10,13297.5,13282.5,13317.5,13282.5,0.25
2016-06-13,13278.5,13326.5,13341.5,13266.5,-0.14
2016-06-14,13365.0,13270.0,13390.0,13265.0,0.65
2016-06-15,13372.5,13382.5,13417.5,13357.5,0.06
2016-06-16,13367.5,13322.5,13367.5,13302.5,-0.04
2016-06-17,13337.5,13352.5,13369.5,13332.5,-0.22
2016-06-20,13265.0,13285.0,13285.0,13245.0,-0.54
2016-06-21,13262.5,13252.5,13302.5,13252.5,-0.02
2016-06-22,13284.0,13274.0,13309.0,13274.0,0.16
2016-06-23,13257.5,13267.5,13270.5,13242.5,-0.2
2016-06-24,13380.0,13244.0,13435.0,13244.0,0.92
2016-06-27,13340.0,13385.0,13520.0,13293.0,-0.3
2016-06-28,13177.5,13307.5,13307.5,13157.5,-1.22
2016-06-29,13161.5,13161.5,13201.5,13131.5,-0.12
2016-06-30,13212.5,13172.5,13217.5,13157.5,0.39
2016-07-01,13140.0,13160.0,13185.0,13125.0,-0.55
2016-07-04,13127.5,13127.5,13127.5,13127.5,-0.1
2016-07-05,13127.5,13127.5,13127.5,13127.5,0.0
2016-07-06,13127.5,13127.5,13127.5,13127.5,0.0
2016-07-07,13127.5,13127.5,13127.5,13127.5,0.0
2016-07-08,13127.5,13127.5,13127.5,13127.5,0.0
2016-07-11,13090.0,13115.0,13125.0,13090.0,-0.29
2016-07-12,13120.0,13125.0,13165.0,13105.0,0.23
2016-07-13,13095.0,13095.0,13120.0,13084.0,-0.19
2016-07-14,13082.5,13072.5,13092.5,13071.5,-0.1
2016-07-15,13091.5,13061.5,13094.5,13061.5,0.07
2016-07-18,13087.5,13102.5,13117.5,13087.5,-0.03
2016-07-19,13089.0,13081.0,13091.0,13081.0,0.01
2016-07-20,13112.5,13092.5,13122.5,13082.5,0.18
2016-07-21,13100.0,13125.0,13130.0,13090.0,-0.1
2016-07-22,13108.5,13081.5,13109.5,13081.5,0.06
2016-07-25,13140.0,13120.0,13145.0,13120.0,0.24
2016-07-26,13167.5,13141.5,13167.5,13119.5,0.21
2016-07-27,13140.0,13145.0,13150.0,13106.0,-0.21
2016-07-28,13101.0,13101.0,13118.0,13093.0,-0.3
2016-07-29,13098.5,13091.5,13112.5,13081.5,-0.02
2016-08-01,13071.0,13081.0,13081.0,13066.0,-0.21
2016-08-02,13097.5,13062.5,13102.5,13062.5,0.2
2016-08-03,13125.0,13115.0,13142.0,13090.0,0.21
2016-08-04,13137.5,13132.5,13149.5,13132.5,0.1
2016-08-05,13128.5,13118.5,13131.5,13114.5,-0.07
2016-08-08,13130.0,13131.0,13151.0,13124.0,0.01
2016-08-09,13132.5,13122.5,13135.5,13117.5,0.02
2016-08-10,13113.5,13111.5,13124.5,13111.5,-0.14
2016-08-11,13117.0,13101.0,13124.0,13101.0,0.03
2016-08-12,13121.0,13111.0,13123.0,13111.0,0.03
2016-08-15,13112.5,13117.5,13124.5,13102.5,-0.06
2016-08-16,13096.0,13081.0,13104.0,13081.0,-0.13
2016-08-17,13096.0,13096.0,13096.0,13096.0,0.0
2016-08-18,13116.5,13100.5,13116.5,13090.5,0.16
2016-08-19,13157.5,13112.5,13157.5,13112.5,0.31
2016-08-22,13211.5,13161.5,13236.5,13161.5,0.41
2016-08-23,13219.0,13201.0,13231.0,13201.0,0.06
2016-08-24,13247.5,13232.5,13272.5,13232.5,0.22
2016-08-25,13241.5,13241.5,13271.5,13239.5,-0.05
2016-08-26,13206.0,13226.0,13244.0,13206.0,-0.27
2016-08-29,13265.0,13235.0,13285.0,13235.0,0.45
2016-08-30,13277.5,13242.5,13277.5,13242.5,0.09
2016-08-31,13267.5,13282.5,13308.5,13256.5,-0.08
2016-09-01,13268.0,13262.0,13280.0,13257.0,0.0
2016-09-02,13247.0,13247.0,13265.0,13235.0,-0.16
2016-09-05,13152.5,13217.5,13217.5,13147.5,-0.71
